15,zip,city,state,population,males,females,
49079,Paw Paw,MI,13606,6764,6842,
49080,Plainwell,MI,15802,7838,7964,
49081,Portage,MI,,,,
49082,Quincy,MI,6579,3298,3281,
49083,Richland,MI,6961,3409,3552,
49084,Riverside,MI,36,20,16,
49085,Saint Joseph,MI,23804,11565,12239,
49087,Schoolcraft,MI,6126,3093,3033,
49088,Scotts,MI,3648,1864,1784,
49089,Sherwood,MI,1875,969,906,
49090,South Haven,MI,13810,6596,7214,
49091,Sturgis,MI,19872,9665,10207,
49092,Tekonsha,MI,2187,1088,1099,
49093,Three Rivers,MI,18380,9055,9325,
49094,Union City,MI,4104,2068,2036,
